param_module__lstm_num_layers,param_module__lstm_hidden_size,param_module__kernel_size,param_module__dropout,param_module__cnn_out_channels,param_max_epochs,param_lr,param_batch_size,mean_test_score,std_test_score,rank_test_score
1,64,3,0.4,32,10,0.001,32,0.6083293343063078,0.044928047849542484,9
1,64,5,0.4,16,10,0.0005,32,0.6141587021194419,0.04254818089875327,7
1,64,3,0.3,16,20,0.0001,64,0.6460102333527886,0.017702164319950538,3
1,64,3,0.4,16,10,0.001,64,0.6113977900967592,0.04178999042295535,8
1,64,3,0.4,16,10,0.0005,64,0.6151866423453051,0.037234877367085153,6
1,32,3,0.4,16,10,0.0005,64,0.6190798229328112,0.026301783509076197,5
2,64,3,0.4,16,20,0.001,32,0.5992215111501418,0.046209505709229395,10
2,32,5,0.2,32,10,0.0001,32,0.670797097327001,0.020672460899683425,1
1,64,3,0.3,32,20,0.0001,32,0.6261339946479737,0.0268677647128341,4
1,32,5,0.4,32,20,0.0001,64,0.6501110209295288,0.02458906679895158,2
