param_module__num_encoder_layers,param_module__nhead,param_module__dropout,param_module__dim_feedforward,param_module__d_model,param_max_epochs,param_lr,param_batch_size,mean_test_score,std_test_score,rank_test_score
1,2,0.2,128,16,10,0.0005,64,0.6291744709218946,0.055943397478251805,6
1,4,0.1,128,32,20,0.0001,64,0.6288360443265264,0.05464971431779224,7
2,4,0.1,64,16,20,0.001,64,0.5803036193837506,0.04977373270297479,10
1,2,0.2,128,16,10,0.001,64,0.653442757936729,0.030253826055918663,3
1,2,0.1,128,32,20,0.0001,32,0.6320624494291098,0.03753015317554376,4
1,2,0.2,64,32,20,0.001,64,0.6130992756445007,0.04494226917349028,8
2,2,0.1,64,16,20,0.0001,32,0.6652918335972854,0.02985411165920586,2
1,4,0.1,64,32,20,0.0005,32,0.6051833345094689,0.012987802826893076,9
2,4,0.2,64,32,20,0.001,64,0.6300747260981159,0.039795617437269185,5
1,4,0.2,128,16,20,0.0001,64,0.6748816696904503,0.01422991142524201,1
